ML Road Frame-W - Yellow, 48;Yellow;48;1061.40;360.9428;71774;01-06-2008;1092;29847
ML Road Frame-W - Yellow, 38;Yellow;38;988.83;360.9428;71774;01-06-2008;1092;29847
Rear Brakes;Silver;;317.00;47.2860;71776;01-06-2008;640;30072
ML Mountain Frame-W - Silver, 42;Silver;42;1274.59;199.3757;71780;01-06-2008;653;30113
Mountain-400-W Silver, 46;Silver;46;12437.44;419.7784;71780;01-06-2008;653;30113
Mountain-500 Silver, 52;Silver;52;13008.96;308.2179;71780;01-06-2008;653;30113
HL Mountain Frame - Silver, 38;Silver;38;1215.62;747.2002;71780;01-06-2008;653;30113
Mountain-500 Black, 42;Black;42;12596.19;294.5797;71780;01-06-2008;653;30113
LL Mountain Frame - Black, 48;Black;48;1360.77;136.7850;71780;01-06-2008;653;30113
HL Mountain Frame - Black, 42;Black;42;1233.76;739.0410;71780;01-06-2008;653;30113
Mountain-200 Black, 38;Black;38;10591.33;1251.9813;71780;01-06-2008;653;30113
LL Mountain Frame - Silver, 44;Silver;44;1342.63;144.5938;71780;01-06-2008;653;30113
Mountain-200 Silver, 42;Silver;42;10781.83;1265.6195;71780;01-06-2008;653;30113
HL Mountain Pedal;Silver/Black;;185.00;35.9596;71780;01-06-2008;653;30113
Women's Mountain Shorts, S;Black;S;;26.1763;71780;01-06-2008;653;30113
Mountain-500 Silver, 42;Silver;42;12596.19;308.2179;71780;01-06-2008;653;30113
Mountain-500 Black, 40;Black;40;12405.69;294.5797;71780;01-06-2008;653;30113
Mountain-500 Black, 44;Black;44;12759.49;294.5797;71780;01-06-2008;653;30113
Mountain-500 Black, 48;Black;48;12891.03;294.5797;71780;01-06-2008;653;30113
Mountain-500 Black, 52;Black;52;13008.96;294.5797;71780;01-06-2008;653;30113
Mountain-500 Silver, 40;Silver;40;12405.69;308.2179;71780;01-06-2008;653;30113
Mountain-500 Silver, 44;Silver;44;12759.49;308.2179;71780;01-06-2008;653;30113
Mountain-500 Silver, 48;Silver;48;12891.03;308.2179;71780;01-06-2008;653;30113
Mountain-400-W Silver, 40;Silver;40;12142.60;419.7784;71780;01-06-2008;653;30113
Mountain-400-W Silver, 42;Silver;42;12305.90;419.7784;71780;01-06-2008;653;30113
Mountain-200 Black, 42;Black;42;10781.83;1251.9813;71780;01-06-2008;653;30113
ML Mountain Handlebars;;;;27.4925;71780;01-06-2008;653;30113
HL Mountain Handlebars;;;;53.3999;71780;01-06-2008;653;30113
LL Mountain Pedal;Silver/Black;;218.00;17.9776;71780;01-06-2008;653;30113
LL Mountain Frame - Black, 44;Black;44;1342.63;136.7850;71780;01-06-2008;653;30113
Women's Mountain Shorts, L;Black;L;;26.1763;71780;01-06-2008;653;30113
Hydration Pack - 70 oz.;Silver;70;;20.5663;71780;01-06-2008;653;30113
Long-Sleeve Logo Jersey, M;Multi;M;;38.4923;71782;01-06-2008;1086;29485
Touring-1000 Yellow, 54;Yellow;54;11648.19;1481.9379;71782;01-06-2008;1086;29485
Touring-1000 Yellow, 46;Yellow;46;11398.72;1481.9379;71782;01-06-2008;1086;29485
AWC Logo Cap;Multi;;;6.9223;71782;01-06-2008;1086;29485
Bike Wash - Dissolver;;;;2.9733;71782;01-06-2008;1086;29485
HL Bottom Bracket;;;170.00;53.9416;71782;01-06-2008;1086;29485
Classic Vest, S;Blue;S;;23.7490;71782;01-06-2008;1086;29485
Hitch Rack - 4-Bike;;;;44.8800;71782;01-06-2008;1086;29485
Touring-3000 Blue, 58;Blue;58;13562.34;461.4448;71782;01-06-2008;1086;29485
Touring-2000 Blue, 50;Blue;50;12437.44;755.1508;71782;01-06-2008;1086;29485
Water Bottle - 30 oz.;;;;1.8663;71782;01-06-2008;1086;29485
Touring-3000 Blue, 44;Blue;44;13049.78;461.4448;71782;01-06-2008;1086;29485
Touring-1000 Yellow, 50;Yellow;50;11530.26;1481.9379;71782;01-06-2008;1086;29485
Front Brakes;Silver;;317.00;47.2860;71782;01-06-2008;1086;29485
LL Bottom Bracket;;;223.00;23.9716;71782;01-06-2008;1086;29485
Touring-2000 Blue, 46;Blue;46;12305.90;755.1508;71782;01-06-2008;1086;29485
Touring-1000 Blue, 46;Blue;46;11398.72;1481.9379;71782;01-06-2008;1086;29485
Short-Sleeve Classic Jersey, XL;Yellow;XL;;41.5723;71782;01-06-2008;1086;29485
HL Touring Frame - Yellow, 60;Yellow;60;1397.06;601.7437;71782;01-06-2008;1086;29485
Long-Sleeve Logo Jersey, L;Multi;L;;38.4923;71782;01-06-2008;1086;29485
Rear Derailleur;Silver;;215.00;53.9282;71782;01-06-2008;1086;29485
Touring-1000 Yellow, 60;Yellow;60;11747.98;1481.9379;71782;01-06-2008;1086;29485
Touring-1000 Blue, 50;Blue;50;11530.26;1481.9379;71782;01-06-2008;1086;29485
Sport-100 Helmet, Black;Black;;;13.0863;71782;01-06-2008;1086;29485
Touring-3000 Yellow, 44;Yellow;44;13049.78;461.4448;71782;01-06-2008;1086;29485
Touring-3000 Blue, 50;Blue;50;13213.08;461.4448;71782;01-06-2008;1086;29485
Touring-3000 Blue, 54;Blue;54;13462.55;461.4448;71782;01-06-2008;1086;29485
Touring-3000 Yellow, 54;Yellow;54;13344.62;461.4448;71782;01-06-2008;1086;29485
Touring-2000 Blue, 60;Blue;60;12655.16;755.1508;71782;01-06-2008;1086;29485
Touring-1000 Blue, 54;Blue;54;11648.19;1481.9379;71782;01-06-2008;1086;29485
HL Crankset;Black;;575.00;179.8156;71782;01-06-2008;1086;29485
Front Derailleur;Silver;;88.00;40.6216;71782;01-06-2008;1086;29485
HL Touring Seat/Saddle;;;;23.3722;71782;01-06-2008;1086;29485
LL Touring Frame - Yellow, 62;Yellow;62;1451.49;199.8519;71782;01-06-2008;1086;29485
HL Touring Frame - Blue, 54;Blue;54;1378.91;601.7437;71782;01-06-2008;1086;29485
HL Touring Frame - Blue, 60;Blue;60;1397.06;601.7437;71782;01-06-2008;1086;29485
Short-Sleeve Classic Jersey, S;Yellow;S;;41.5723;71782;01-06-2008;1086;29485
Short-Sleeve Classic Jersey, L;Yellow;L;;41.5723;71782;01-06-2008;1086;29485
Half-Finger Gloves, M;Black;M;;9.1593;71782;01-06-2008;1086;29485
Classic Vest, M;Blue;M;;23.7490;71782;01-06-2008;1086;29485
Hydration Pack - 70 oz.;Silver;70;;20.5663;71782;01-06-2008;1086;29485
Sport-100 Helmet, Blue;Blue;;;13.0863;71782;01-06-2008;1086;29485
Sport-100 Helmet, Red;Red;;;13.0863;71782;01-06-2008;1086;29485
LL Road Frame - Black, 52;Black;52;1088.62;204.6251;71783;01-06-2008;992;29957
ML Road Pedal;Silver/Black;;168.00;27.5680;71783;01-06-2008;992;29957
Road-250 Black, 44;Black;44;6699.52;1554.9479;71783;01-06-2008;992;29957
Road-750 Black, 58;Black;58;9430.14;343.6496;71783;01-06-2008;992;29957
Hydration Pack - 70 oz.;Silver;70;;20.5663;71783;01-06-2008;992;29957
Half-Finger Gloves, M;Black;M;;9.1593;71783;01-06-2008;992;29957
Road-350-W Yellow, 48;Yellow;48;7447.95;1082.5100;71783;01-06-2008;992;29957
Long-Sleeve Logo Jersey, M;Multi;M;;38.4923;71783;01-06-2008;992;29957
Bike Wash - Dissolver;;;;2.9733;71783;01-06-2008;992;29957
HL Road Handlebars;;;;53.3999;71783;01-06-2008;992;29957
Short-Sleeve Classic Jersey, S;Yellow;S;;41.5723;71783;01-06-2008;992;29957
Patch Kit/8 Patches;;;;0.8565;71783;01-06-2008;992;29957
Water Bottle - 30 oz.;;;;1.8663;71783;01-06-2008;992;29957
ML Road Frame-W - Yellow, 38;Yellow;38;988.83;360.9428;71783;01-06-2008;992;29957
Road-550-W Yellow, 42;Yellow;42;8223.59;713.0798;71783;01-06-2008;992;29957
Half-Finger Gloves, S;Black;S;;9.1593;71783;01-06-2008;992;29957
Half-Finger Gloves, L;Black;L;;9.1593;71783;01-06-2008;992;29957
Classic Vest, S;Blue;S;;23.7490;71783;01-06-2008;992;29957
LL Road Pedal;Silver/Black;;189.00;17.9776;71783;01-06-2008;992;29957
Short-Sleeve Classic Jersey, L;Yellow;L;;41.5723;71783;01-06-2008;992;29957
LL Road Frame - Black, 58;Black;58;1115.83;204.6251;71783;01-06-2008;992;29957
Short-Sleeve Classic Jersey, XL;Yellow;XL;;41.5723;71783;01-06-2008;992;29957
Road-750 Black, 48;Black;48;9130.77;343.6496;71783;01-06-2008;992;29957
Road-750 Black, 52;Black;52;9262.31;343.6496;71783;01-06-2008;992;29957
Road-550-W Yellow, 38;Yellow;38;7869.79;713.0798;71783;01-06-2008;992;29957
Road-550-W Yellow, 40;Yellow;40;8060.29;713.0798;71783;01-06-2008;992;29957
Road-550-W Yellow, 48;Yellow;48;8473.06;713.0798;71783;01-06-2008;992;29957
Road-350-W Yellow, 40;Yellow;40;6962.61;1082.5100;71783;01-06-2008;992;29957
Road-350-W Yellow, 42;Yellow;42;7153.11;1082.5100;71783;01-06-2008;992;29957
HL Road Pedal;Silver/Black;;149.00;35.9596;71783;01-06-2008;992;29957
ML Road Frame-W - Yellow, 44;Yellow;44;1043.26;360.9428;71783;01-06-2008;992;29957
ML Road Frame-W - Yellow, 48;Yellow;48;1061.40;360.9428;71783;01-06-2008;992;29957
HL Road Frame - Black, 44;Black;44;961.61;868.6342;71783;01-06-2008;992;29957
HL Road Frame - Red, 44;Red;44;961.61;868.6342;71783;01-06-2008;992;29957
Long-Sleeve Logo Jersey, L;Multi;L;;38.4923;71783;01-06-2008;992;29957
Long-Sleeve Logo Jersey, XL;Multi;XL;;38.4923;71783;01-06-2008;992;29957
Racing Socks, L;White;L;;3.3623;71783;01-06-2008;992;29957
Classic Vest, M;Blue;M;;23.7490;71783;01-06-2008;992;29957
AWC Logo Cap;Multi;;;6.9223;71783;01-06-2008;992;29957
Sport-100 Helmet, Blue;Blue;;;13.0863;71783;01-06-2008;992;29957
Hitch Rack - 4-Bike;;;;44.8800;71783;01-06-2008;992;29957
Sport-100 Helmet, Red;Red;;;13.0863;71783;01-06-2008;992;29957
Sport-100 Helmet, Black;Black;;;13.0863;71783;01-06-2008;992;29957
Sport-100 Helmet, Blue;Blue;;;13.0863;71784;01-06-2008;659;29736
HL Touring Frame - Yellow, 60;Yellow;60;1397.06;601.7437;71784;01-06-2008;659;29736
Touring-1000 Yellow, 46;Yellow;46;11398.72;1481.9379;71784;01-06-2008;659;29736
Water Bottle - 30 oz.;;;;1.8663;71784;01-06-2008;659;29736
Classic Vest, M;Blue;M;;23.7490;71784;01-06-2008;659;29736
Touring-2000 Blue, 46;Blue;46;12305.90;755.1508;71784;01-06-2008;659;29736
Touring-3000 Blue, 58;Blue;58;13562.34;461.4448;71784;01-06-2008;659;29736
Long-Sleeve Logo Jersey, M;Multi;M;;38.4923;71784;01-06-2008;659;29736
AWC Logo Cap;Multi;;;6.9223;71784;01-06-2008;659;29736
Touring-2000 Blue, 54;Blue;54;12555.37;755.1508;71784;01-06-2008;659;29736
Bike Wash - Dissolver;;;;2.9733;71784;01-06-2008;659;29736
Long-Sleeve Logo Jersey, XL;Multi;XL;;38.4923;71784;01-06-2008;659;29736
Touring-3000 Yellow, 62;Yellow;62;13607.70;461.4448;71784;01-06-2008;659;29736
Touring-3000 Blue, 54;Blue;54;13462.55;461.4448;71784;01-06-2008;659;29736
Hitch Rack - 4-Bike;;;;44.8800;71784;01-06-2008;659;29736
LL Touring Frame - Yellow, 44;Yellow;44;1369.84;199.8519;71784;01-06-2008;659;29736
Half-Finger Gloves, S;Black;S;;9.1593;71784;01-06-2008;659;29736
HL Touring Frame - Yellow, 54;Yellow;54;1378.91;601.7437;71784;01-06-2008;659;29736
Touring-3000 Yellow, 50;Yellow;50;13213.08;461.4448;71784;01-06-2008;659;29736
LL Touring Frame - Blue, 50;Blue;50;1406.13;199.8519;71784;01-06-2008;659;29736
Touring-1000 Yellow, 60;Yellow;60;11747.98;1481.9379;71784;01-06-2008;659;29736
Touring-3000 Blue, 50;Blue;50;13213.08;461.4448;71784;01-06-2008;659;29736
Touring-3000 Yellow, 44;Yellow;44;13049.78;461.4448;71784;01-06-2008;659;29736
Touring-3000 Yellow, 54;Yellow;54;13344.62;461.4448;71784;01-06-2008;659;29736
Touring-2000 Blue, 60;Blue;60;12655.16;755.1508;71784;01-06-2008;659;29736
Touring-1000 Blue, 46;Blue;46;11398.72;1481.9379;71784;01-06-2008;659;29736
Touring-1000 Blue, 50;Blue;50;11530.26;1481.9379;71784;01-06-2008;659;29736
Touring-1000 Blue, 60;Blue;60;11747.98;1481.9379;71784;01-06-2008;659;29736
Touring-1000 Yellow, 50;Yellow;50;11530.26;1481.9379;71784;01-06-2008;659;29736
HL Touring Seat/Saddle;;;;23.3722;71784;01-06-2008;659;29736
